"","cluster_id"
"b3_BS_1a",2
"b3_BS_1b",2
"b3_BS_1c",2
"b3_BS_2a",2
"b3_BS_2b",2
"b3_BS_2c",2
"b3_BS_3a",2
"b3_BS_3b",2
"b3_BS_3c",2
"b3_NS_1",2
"b3_NS_2",2
"b3_NS_3",2
"b3_RS_1a",2
"b3_RS_1b",2
"b3_RS_1c",2
"b3_RS_2a",2
"b3_RS_2b",2
"b3_RS_2c",2
"b3_RS_3a",2
"b3_RS_3b",2
"b3_RS_3c",2
"b3_RT_1a",1
"b3_RT_1b",1
"b3_RT_1c",1
"b3_RT_2a",1
"b3_RT_2b",1
"b3_RT_2c",1
"b3_RT_3a",1
"b3_RT_3b",1
"b3_RT_3c",1
"b3_RZ_1a",1
"b3_RZ_1b",1
"b3_RZ_1c",1
"b3_RZ_2a",1
"b3_RZ_2b",1
"b3_RZ_2c",1
"b3_RZ_3a",1
"b3_RZ_3b",1
"b3_RZ_3c",1
"b4_BS_1a",2
"b4_BS_1b",2
"b4_BS_1c",2
"b4_BS_2a",2
"b4_BS_2b",2
"b4_BS_2c",2
"b4_BS_3a",2
"b4_BS_3b",2
"b4_BS_3c",2
"b4_NS_1",2
"b4_NS_2",2
"b4_NS_3",2
"b4_RS_1a",2
"b4_RS_1b",2
"b4_RS_1c",2
"b4_RS_2a",2
"b4_RS_2b",2
"b4_RS_2c",2
"b4_RS_3a",2
"b4_RS_3b",2
"b4_RS_3c",2
"b4_RT_1a",1
"b4_RT_1b",1
"b4_RT_1c",1
"b4_RT_2a",1
"b4_RT_2b",1
"b4_RT_2c",1
"b4_RT_3a",1
"b4_RT_3b",1
"b4_RT_3c",1
"b4_RZ_1a",1
"b4_RZ_1b",1
"b4_RZ_1c",1
"b4_RZ_2a",1
"b4_RZ_2b",1
"b4_RZ_2c",1
"b4_RZ_3a",1
"b4_RZ_3b",1
"b4_RZ_3c",1
