,average,p,otu_id,baseMean,log2FoldChange,pvalue,padj,relative_abund,log2FC_new,rel_abu_new,padj_new
1,0.068,0.001,857cae3c0822cfeb18feba23973fbf9c,2539.43298347772,9.3211929177037,5.80047682632027e-97,2.93330113107016e-93,0.137200520221251,9.3211929177037,0.1,0.001
2,0.012,0.001,1adf4f11edc4fa9ce877975923bf0420,476.774760532925,6.76689364876922,4.88176535831127e-50,8.5127887644759e-48,0.0252302083496555,6.76689364876922,0.0252302083496555,0.001
3,0.012,0.001,c1244b49f9e6969be171225f16de3758,488.470422232567,5.1218308318466,1.03703202520576e-22,2.23160466019809e-21,0.0247287902766679,5.1218308318466,0.0247287902766679,0.001
4,0.01,0.001,dc0f2239562faa6fc02bcaed6bb814cd,379.0360029788,6.60323770208062,1.44790621079722e-46,1.83051542700039e-44,0.0200880615490685,6.60323770208062,0.0200880615490685,0.001
5,0.01,0.001,09b6da1d82a322a61cbdcfd49e59732e,396.071930030032,5.13329737787226,6.93795628813845e-23,1.51884177268901e-21,0.0201011193113858,5.13329737787226,0.0201011193113858,0.001
6,0.009,0.001,c7950a2933edf970e577cb3a0466ba3d,337.640452777699,6.81280215911185,6.52376512311331e-60,2.061917514224e-57,0.0179596462913343,6.81280215911185,0.0179596462913343,0.001
7,0.008,0.001,5bad57fa3830c1d4c9ba79dbed27091b,322.555554096743,5.432898389493,7.88551253890996e-25,2.05473242457884e-23,0.0166473411784369,5.432898389493,0.0166473411784369,0.001
8,0.008,0.001,f81db63b44977fdafeb3cecd0b057f5a,295.741340261818,6.0248031802377,7.01829233820484e-30,2.77277377767983e-28,0.0155935797594238,6.0248031802377,0.0155935797594238,0.001
9,0.006,0.001,90d981eca9fd7d35f672aff7936dd0c4,262.034369926454,4.23702570459826,1.38946201858294e-17,1.80630062415783e-16,0.0126373023707673,4.23702570459826,0.0126373023707673,0.001
10,0.006,0.001,0ed4daf0e2fc52a6e9eab1cc81c5dc73,254.956545179686,4.45497455421959,1.05887956303375e-25,3.05985940014951e-24,0.0125223940623743,4.45497455421959,0.0125223940623743,0.001
11,0.005,0.001,4c42f332ba75ee9aeba91f726e94a0dd,190.856718506757,7.17882678701951,3.47341533057411e-61,1.17100408844755e-58,0.0101589390829272,7.17882678701951,0.0101589390829272,0.001
12,0.005,0.001,8b80ca0834a9ca408468f97e0d750f04,191.785349155089,5.69878719479025,1.7779648374328e-37,1.18304844511811e-35,0.00999179972526468,5.69878719479025,0.00999179972526468,0.001
13,0.004,0.001,ed62e68866e092ed81205bcab532ad76,166.383914564999,6.05581795308544,5.13408958235182e-42,4.55492824876371e-40,0.00870952746569726,6.05581795308544,0.00870952746569726,0.001
14,0.004,0.001,75fc08ef36f4236e6bb942d1b7dfd9c5,207.950564264862,3.17533851858278,6.2099526786189e-20,1.01630196426459e-18,0.00893412097755632,3.17533851858278,0.00893412097755632,0.001
15,0.004,0.001,8fd8a9bd34999b4ae6326f9606f7d4ea,154.429985833643,4.5819761849117,3.32052162864137e-26,1.00550166922392e-24,0.0075878656826337,4.5819761849117,0.0075878656826337,0.001
16,0.003,0.001,088974947d04ffbc9a4be85b9b405e6e,133.137911543727,5.50756619965417,5.05803931800431e-17,6.2386597149141e-16,0.00683182124445698,5.50756619965417,0.00683182124445698,0.001
17,0.003,0.001,3b14a2e4bf8e3e56470d9cee44d126e2,136.781028330096,5.08176626461829,1.2273537472734e-19,1.96415439872202e-18,0.00692975446183738,5.08176626461829,0.00692975446183738,0.001
18,0.003,0.021,7bb9c0db9636503c23bf8af651fe41a0,2.61458188056117,1.4670416327368,0.00135662481653696,0.00260358698186998,0.00654846780216968,1.4670416327368,0.00654846780216968,0.01
19,0.003,0.001,77ffd70f814f7b4a370f917441f87241,135.585156543456,4.74607089035237,5.22721188564999e-25,1.391263710828e-23,0.00676653243287004,4.74607089035237,0.00676653243287004,0.001
20,0.003,0.001,d9747f9d62e39336339d620b27aa13d5,120.151877336628,7.63462526182549,7.66340851523642e-57,2.15299204786392e-54,0.00638002266827538,7.63462526182549,0.00638002266827538,0.001
21,0.003,0.001,e98c90d7ce0507e456f212df5db008cd,126.013213226339,5.52050611392271,1.75848352641079e-31,7.66607861470635e-30,0.00644661725609406,5.52050611392271,0.00644661725609406,0.001
22,0.003,0.001,af8fd08b3f23cc04b05940f50265d54e,118.841257631995,7.38977770711572,2.95581072839997e-86,3.73688371337966e-83,0.00631865118538366,7.38977770711572,0.00631865118538366,0.001
23,0.003,0.001,3033224bafbaa77d517a2ca176f5721a,148.497374080418,3.44756286359178,1.08634471562273e-15,1.16390788705597e-14,0.00665292990070878,3.44756286359178,0.00665292990070878,0.001
24,0.003,0.001,2264c4ebf8f01b969a1cbd05c21db6e2,108.217899973876,5.45648834866376,6.45173833842812e-20,1.04908169702351e-18,0.00564617642603822,5.45648834866376,0.00564617642603822,0.001
25,0.003,0.001,41872850d691e3b79555916708eaf345,129.802975857806,3.58843188740538,6.20820093756924e-20,1.01630196426459e-18,0.00591255477731292,3.58843188740538,0.00591255477731292,0.001
26,0.003,0.001,68b9ce06fc98f29759c01b03263a5d67,134.982366692454,2.93140362811371,2.13270858946269e-08,9.45232895434952e-08,0.0056318128874891,2.93140362811371,0.0056318128874891,0.001
27,0.003,0.001,94571067ac41e42d9fb580aaa4462c96,104.874042150233,4.67055958875104,4.15993810050747e-20,7.03572139607568e-19,0.0052035182834788,4.67055958875104,0.0052035182834788,0.001
28,0.003,0.001,1e94f0cdbc25f5031880b3407b66865e,107.892371572486,4.46951718644235,1.85931951169406e-25,5.22365487257604e-24,0.00526880709506573,4.46951718644235,0.00526880709506573,0.001
29,0.002,0.001,33c963fd059bd9a6f3d276985157941e,133.15756225762,3.12186604630387,2.78530118136493e-18,3.90173630863226e-17,0.00566706884574604,3.12186604630387,0.00566706884574604,0.001
30,0.002,0.001,972224318610533bec05d47cc799b081,114.790105132706,3.21121854791716,5.61130962280168e-07,2.04848167199298e-06,0.00502332116349885,3.21121854791716,0.00502332116349885,0.001
31,0.002,0.026,f6d3fd59815023648fb086c386ee003d,75.5664411346983,6.35581848609321,1.4179681052616e-51,2.75794796473382e-49,0.00397739440187614,6.35581848609321,0.00397739440187614,0.001
32,0.002,0.001,168bc756ad07d52974adca9b96b8ebc9,103.902151542776,4.14203948902982,6.32864485662237e-20,1.03238571096578e-18,0.00498675942901017,4.14203948902982,0.00498675942901017,0.001
33,0.002,0.001,57c1fdee5ac31d3b76c7cf1b0fad5a26,89.8868158337921,5.26496127333045,1.75342210604157e-34,9.63810390244805e-33,0.00460155544064725,5.26496127333045,0.00460155544064725,0.001
34,0.002,0.001,c25994361149b003df0d7bdfdd73e3ba,93.5789585079419,4.57951787073869,4.64358354057224e-19,7.09444168117034e-18,0.00461983630789159,4.57951787073869,0.00461983630789159,0.001
35,0.002,0.001,06ee824c6f1e7a80eff983dad5bd1311,80.7927063392465,7.13501494381541,2.51045952120056e-88,4.23179793290375e-85,0.00432734243198212,7.13501494381541,0.00432734243198212,0.001
36,0.002,0.001,6a57f871fa6f9cb75682fef1fd14ad5c,89.6632160808321,4.5015555266406,1.23093099216324e-13,1.03960864111028e-12,0.00438349080994688,4.5015555266406,0.00438349080994688,0.001
37,0.002,0.001,74291a532d42b84f217848954722d2c9,95.8149835125175,3.80882762145647,5.2081062815266e-16,5.81399414253422e-15,0.00443049875428948,3.80882762145647,0.00443049875428948,0.001
38,0.002,0.001,0a05491fefa859bbf353e62d5417507a,97.4069369428981,3.52081781345342,4.36422630177129e-20,7.33219016878983e-19,0.0043808792574834,3.52081781345342,0.0043808792574834,0.001
39,0.002,0.001,48246b976d5804a3c4c713914edd76d7,91.7063607409693,3.26732445599964,3.74763371273377e-06,1.21954849969721e-05,0.00395127887724137,3.26732445599964,0.00395127887724137,0.001
40,0.002,0.001,dcf5bebdee8c4337ecb45fcc472b47c9,73.3123603907099,5.54671334295998,4.54140206485333e-47,6.20699195728737e-45,0.00376324709987099,5.54671334295998,0.00376324709987099,0.001
41,0.002,0.001,d7c175c5b206160e3c14ffd3ae2019d7,69.9016889995873,4.69695884249341,1.3605601618815e-23,3.18534849010867e-22,0.00346814167149804,4.69695884249341,0.00346814167149804,0.001
42,0.002,0.001,23c3bedf2a6a2f7cdf7cbd830ce5af2b,62.4070973286814,6.09423440103383,2.80905476326384e-40,2.32875244882381e-38,0.00323049039732159,6.09423440103383,0.00323049039732159,0.001
43,0.002,0.001,7bbbc14328e63fbf5dcf345fb96ddc1a,64.2638330307575,4.97992594008829,2.55516899332004e-25,7.06092327826198e-24,0.00326705213181028,4.97992594008829,0.00326705213181028,0.001
44,0.002,0.001,a1b60bbeb789fe53549a240e52adf087,74.7528924672173,3.65270418433534,2.43321454849083e-13,1.97395928398903e-12,0.00343027416077762,3.65270418433534,0.00343027416077762,0.001
45,0.002,0.001,03604f3dc8e1fcab3d4a633861ee3001,66.7148204700457,4.64490776774143,1.43977834976298e-36,8.98883841327334e-35,0.00329839076137201,4.64490776774143,0.00329839076137201,0.001
46,0.002,0.001,98ae661b43cda45e66012af1806d7b79,68.3970453445231,3.81933005581237,1.36427158290791e-11,8.8677652889014e-11,0.003183482452979,3.81933005581237,0.003183482452979,0.001
47,0.002,0.001,916390c862db696dd56914b99820ed26,88.8559333233661,2.29612867341601,2.72178484735694e-05,7.57516013928675e-05,0.0032474654883342,2.29612867341601,0.0032474654883342,0.001
48,0.001,0.001,24ddd7b2cb2cc64657149abd9c95e130,65.1891546509758,4.14602867600998,1.77935415993759e-13,1.46789461448685e-12,0.00311035898400163,4.14602867600998,0.00311035898400163,0.001
49,0.001,0.001,072c6ec00f136eec9a45186f2333eba4,165.272529199587,1.18645666505067,0.000888673143657051,0.00180337884730085,0.004427887201826,1.18645666505067,0.004427887201826,0.01
50,0.001,0.001,4ce7dd0817cd3fad4f182b9f8a71815a,60.9664156529891,4.24911582626026,2.96469068333745e-26,9.08632774887121e-25,0.00292885608778995,4.24911582626026,0.00292885608778995,0.001
51,0.001,0.001,87c305b0d05b8db80947bd56f1dbe843,97.5253530040826,2.23962431284168,2.96363062025721e-11,1.84797534483856e-10,0.00353473625931671,2.23962431284168,0.00353473625931671,0.001
52,0.001,0.001,004ddb5e514a7843618ed1991d3d3fc0,52.181734943617,6.28461982017761,1.29351295403315e-59,3.84782059326215e-57,0.00274082431041957,6.28461982017761,0.00274082431041957,0.001
53,0.001,0.001,734c20ac84d1a609a7c4fb487b312194,64.5878305970413,3.49568961059637,8.69823619459307e-12,5.91222855323349e-11,0.00290665789185039,3.49568961059637,0.00290665789185039,0.001
54,0.001,0.001,a68580e08c7ab43cdd39569be8a160f7,70.0684831466804,2.55959139425736,3.29466279574735e-05,8.99142458612755e-05,0.00270687412839437,2.55959139425736,0.00270687412839437,0.001
55,0.001,0.001,68cc1eefe5396534add3bb291bd2b0c8,56.9929672042595,4.31902553532511,1.31290426819046e-23,3.08807296941357e-22,0.00276955138751782,4.31902553532511,0.00276955138751782,0.001
56,0.001,0.001,9cc528f587f9c31342c12e9072677366,63.3569096617117,3.42465073833971,2.14382350488052e-10,1.21340343029369e-09,0.00279436113592086,3.42465073833971,0.00279436113592086,0.001
57,0.001,0.001,5b7c9481328b6d1faee4feb62046b3f8,58.9782159436614,3.758700923284,5.45257428760068e-17,6.70892169644687e-16,0.00270426257593089,3.758700923284,0.00270426257593089,0.001
58,0.001,0.001,c89f74b2d8e168738864b399b32c8196,48.6660858904469,5.35110632874129,3.49332828383106e-34,1.84018345118059e-32,0.00250970191740182,5.35110632874129,0.00250970191740182,0.001
