sample-id	month	type	month_type
b3_BS_1a	m3_Jun	BS	m3_Jun_BS
b3_BS_1b	m3_Jun	BS	m3_Jun_BS
b3_BS_1c	m3_Jun	BS	m3_Jun_BS
b3_BS_2a	m3_Jun	BS	m3_Jun_BS
b3_BS_2b	m3_Jun	BS	m3_Jun_BS
b3_BS_2c	m3_Jun	BS	m3_Jun_BS
b3_BS_3a	m3_Jun	BS	m3_Jun_BS
b3_BS_3b	m3_Jun	BS	m3_Jun_BS
b3_BS_3c	m3_Jun	BS	m3_Jun_BS
b3_RT_1a	m3_Jun	RT	m3_Jun_RT
b3_RT_1b	m3_Jun	RT	m3_Jun_RT
b3_RT_1c	m3_Jun	RT	m3_Jun_RT
b3_RT_2a	m3_Jun	RT	m3_Jun_RT
b3_RT_2b	m3_Jun	RT	m3_Jun_RT
b3_RT_2c	m3_Jun	RT	m3_Jun_RT
b3_RT_3a	m3_Jun	RT	m3_Jun_RT
b3_RT_3b	m3_Jun	RT	m3_Jun_RT
b3_RT_3c	m3_Jun	RT	m3_Jun_RT
b3_RS_1a	m3_Jun	RS	m3_Jun_RS
b3_RS_1b	m3_Jun	RS	m3_Jun_RS
b3_RS_1c	m3_Jun	RS	m3_Jun_RS
b3_RS_2a	m3_Jun	RS	m3_Jun_RS
b3_RS_2b	m3_Jun	RS	m3_Jun_RS
b3_RS_2c	m3_Jun	RS	m3_Jun_RS
b3_RS_3a	m3_Jun	RS	m3_Jun_RS
b3_RS_3b	m3_Jun	RS	m3_Jun_RS
b3_RS_3c	m3_Jun	RS	m3_Jun_RS
b3_RZ_1a	m3_Jun	RZ	m3_Jun_RZ
b3_RZ_1b	m3_Jun	RZ	m3_Jun_RZ
b3_RZ_1c	m3_Jun	RZ	m3_Jun_RZ
b3_RZ_2a	m3_Jun	RZ	m3_Jun_RZ
b3_RZ_2b	m3_Jun	RZ	m3_Jun_RZ
b3_RZ_2c	m3_Jun	RZ	m3_Jun_RZ
b3_RZ_3a	m3_Jun	RZ	m3_Jun_RZ
b3_RZ_3b	m3_Jun	RZ	m3_Jun_RZ
b3_RZ_3c	m3_Jun	RZ	m3_Jun_RZ
b3_NS_1	m3_Jun	NS	m3_Jun_NS
b3_NS_2	m3_Jun	NS	m3_Jun_NS
b3_NS_3	m3_Jun	NS	m3_Jun_NS
b4_BS_1a	m4_Aug	BS	m4_Aug_BS
b4_BS_1b	m4_Aug	BS	m4_Aug_BS
b4_BS_1c	m4_Aug	BS	m4_Aug_BS
b4_BS_2a	m4_Aug	BS	m4_Aug_BS
b4_BS_2b	m4_Aug	BS	m4_Aug_BS
b4_BS_2c	m4_Aug	BS	m4_Aug_BS
b4_BS_3a	m4_Aug	BS	m4_Aug_BS
b4_BS_3b	m4_Aug	BS	m4_Aug_BS
b4_BS_3c	m4_Aug	BS	m4_Aug_BS
b4_RT_1a	m4_Aug	RT	m4_Aug_RT
b4_RT_1b	m4_Aug	RT	m4_Aug_RT
b4_RT_1c	m4_Aug	RT	m4_Aug_RT
b4_RT_2a	m4_Aug	RT	m4_Aug_RT
b4_RT_2b	m4_Aug	RT	m4_Aug_RT
b4_RT_2c	m4_Aug	RT	m4_Aug_RT
b4_RT_3a	m4_Aug	RT	m4_Aug_RT
b4_RT_3b	m4_Aug	RT	m4_Aug_RT
b4_RT_3c	m4_Aug	RT	m4_Aug_RT
b4_RS_1a	m4_Aug	RS	m4_Aug_RS
b4_RS_1b	m4_Aug	RS	m4_Aug_RS
b4_RS_1c	m4_Aug	RS	m4_Aug_RS
b4_RS_2a	m4_Aug	RS	m4_Aug_RS
b4_RS_2b	m4_Aug	RS	m4_Aug_RS
b4_RS_2c	m4_Aug	RS	m4_Aug_RS
b4_RS_3a	m4_Aug	RS	m4_Aug_RS
b4_RS_3b	m4_Aug	RS	m4_Aug_RS
b4_RS_3c	m4_Aug	RS	m4_Aug_RS
b4_RZ_1a	m4_Aug	RZ	m4_Aug_RZ
b4_RZ_1b	m4_Aug	RZ	m4_Aug_RZ
b4_RZ_1c	m4_Aug	RZ	m4_Aug_RZ
b4_RZ_2a	m4_Aug	RZ	m4_Aug_RZ
b4_RZ_2b	m4_Aug	RZ	m4_Aug_RZ
b4_RZ_2c	m4_Aug	RZ	m4_Aug_RZ
b4_RZ_3a	m4_Aug	RZ	m4_Aug_RZ
b4_RZ_3b	m4_Aug	RZ	m4_Aug_RZ
b4_RZ_3c	m4_Aug	RZ	m4_Aug_RZ
b4_NS_1	m4_Aug	NS	m4_Aug_NS
b4_NS_2	m4_Aug	NS	m4_Aug_NS
b4_NS_3	m4_Aug	NS	m4_Aug_NS
