"","b3_RZ_1a","b3_RZ_1c","b3_RZ_2a","b3_RZ_2c","b3_RZ_3b","b3_RZ_3c","b4_RZ_1a","b4_RZ_1b","b4_RZ_2b","b4_RZ_2c","b4_RZ_3a","b4_RZ_3b","b3_RT_1a","b3_RT_1b","b3_RT_2b","b3_RT_2c","b3_RT_3a","b4_RT_1a","b4_RT_1b","b4_RT_2b","b4_RT_2c","b4_RT_3a","b4_RT_3b"
"ro_bin.2",0,0,0,0,0,0,0.0025215183702492,0.00176513489578434,0,0,0,0,0.00286599650621165,0,0.0150184318187696,0,0.00562477764954708,0.0837123548051873,0.102534129316661,0.00364492868606344,0.0136673686123119,0.00516193798933507,0.00866774802006662
"ro_bin.28",0,0,0,0,0,0,0.00182629630728829,0,0,0,0,0,0.0960538969542321,0.0139304734413852,0.0263162952815307,0.00654602251846086,0.0173359526391396,0.0165820713327565,0.0210185504193336,0.0062298999609863,0.0196887195105813,0.0426845315204148,0.0505701243056285
"co_bin.52",0,0,0,0,0,0.00585336257137273,0.00549279082036121,0.00975356007676943,0.059058281552148,0.00933786204496313,0.034368762245461,0.00450463684371646,0,0,0,0,0,0,0,0.00602320684120377,0.00615386230627028,0,0.000676453613919397
"co_bin.41",0,0,0,0,0,0,0,0,0,0,0,0,0.0523461600876434,0.0161679552123373,0.013669619433673,0.00221551466879605,0.0124154242577564,0.00123202402127374,0,0.00163380401720566,0.00210654148181067,0.00450073693444858,0.00633806239833399
"co_bin.27",0.00357659131984321,0.00626708123571133,0.00354611558969255,0,0.00709829799892986,0.00367771758227768,0.0213036936341299,0.0178433370818192,0.0085995692266469,0.00545285488438043,0.00619376091471086,0,0.0186308107205217,0.00447066063603235,0.0310601384990629,0.00445162331617525,0.0482228966015397,0.0662381637005811,0.152278710639128,0.0455888572121435,0.058439826618545,0.060202339564003,0.0714788959069753
"ro_bin.24",0.0236432140729635,0.0114459157124479,0.0199252912438403,0,0.00669579774657339,0.00295053400752283,0.00294976207895645,0.0117053618996394,0.0238206090350548,0.013050186252054,0.00634459654334406,0.00324918066663989,0.0180960333137117,0,0.0065159933287348,0,0.00185901513568538,0.00272891320861266,0.00928935223123174,0.00532534099960641,0.00761777340873127,0.0318437849021744,0.0261910504501564
"co_bin.26",0,0,0,0,0,0,0,0,0.00117401068833876,0,0,0,0,0,0.02757381854992,0.016510044227841,0.00196066551737249,0,0,0.0352823214437494,0.0338141073030466,0.00555240713719876,0.0235759678932646
"rh_bin.36",0.0943310261426988,0.052250123576088,0.0825409475937652,0.103880511014731,0.0851955081502484,0.0501694350324827,0.0667853394075967,0.0296263145009038,0.0424657305324992,0.131593989297984,0.0365236551209066,0.0619797360713502,0.00523121120155878,0.00955563639714784,0.00293720769030234,0.016414628749051,0.00343987621066783,0.00375646344446107,0.00151168474832891,0.00656144709825487,0.0106569797839272,0.00667607563416174,0.00420599244315209
"rh_bin.8",0,0,0.00384227181809783,0,0.00518591919208538,0.00237817209656237,0.062749085609128,0.0763102522545335,0.0116448335625269,0.0114011992284712,0.0106564724080863,0,0.0020518009640854,0,0.00279635807352427,0,0.00944209640483885,0.0200832437685731,0.0297500268020875,0.00646828274128438,0.0162363319090956,0.0132649007145844,0.00894685830712012
"co_bin.28",0.0390330358177205,0.0575011866412549,0.0154442214216864,0.038939565039235,0.0182192166443427,0.0120593789354114,0.0111963198668012,0.00748558733326538,0.0179001023903944,0.00910146773839113,0.0138128095591793,0.0153673175159562,0.00740697019320729,0.0254638444321633,0.00639533011733365,0.0117154711720033,0.00125152669879699,0.00385041419634949,0.00082409246325737,0.00260902304660711,0.00185935861843718,0.00256080195645716,0.00129019619076742
"co_bin.42",0.0170375344069944,0.012344068130027,0.0199717908708611,0.0100128732349603,0.0142627464767079,0.00951708170461595,0.00526743802072472,0.00332475144885073,0.00402988289699502,0.00319554001317965,0.00612979901026808,0.0162745346870717,0,0,0,0.00591417751947884,0.00485271147155878,0,0,0.00266159551275537,0.000848718481912872,0,0.00391354191770713
