"","857cae3c0822cfeb18feba23973fbf9c","088974947d04ffbc9a4be85b9b405e6e","6a155a1918b447b59a57dae757e2b44c","c1244b49f9e6969be171225f16de3758","5bad57fa3830c1d4c9ba79dbed27091b","48246b976d5804a3c4c713914edd76d7"
"ro_bin.2",0.58,-0.15,-0.76,-0.59,-0.42,-0.63
"ro_bin.28",0.75,-0.45,-0.8,-0.67,-0.62,-0.44
"co_bin.52",-0.32,0.65,0.18,0.13,0.55,-0.4
"co_bin.41",0.75,-0.6,-0.76,-0.66,-0.7,-0.22
"co_bin.27",0.52,-0.06,-0.7,-0.62,-0.37,-0.72
"ro_bin.24",-0.21,0.1,-0.08,-0.02,0.07,-0.04
"co_bin.26",0.5,-0.24,-0.67,-0.53,-0.3,-0.38
"rh_bin.36",-0.85,0.28,0.83,0.63,0.64,0.48
"rh_bin.8",0.03,0.47,-0.23,-0.24,0.28,-0.79
"co_bin.28",-0.58,-0.05,0.73,0.53,0.26,0.76
"co_bin.42",-0.7,0.22,0.68,0.59,0.42,0.63
"ro_bin.15",-0.37,-0.28,0.35,0.13,0.03,0.38
"ro_bin.6",-0.34,0.07,0.3,0.47,0.21,0.18
"co_bin.29",-0.64,0.8,0.55,0.54,0.98,-0.09
"ro_bin.17",-0.56,0.44,0.72,0.95,0.64,0.36
"ro_bin.10",0.73,-0.37,-0.75,-0.65,-0.58,-0.43
"co_bin.70",0.75,-0.38,-0.75,-0.67,-0.61,-0.55
"ro_bin.37",0.77,-0.42,-0.82,-0.66,-0.67,-0.47
"co_bin.32",-0.62,0.07,0.66,0.64,0.35,0.7
"ro_bin.3",-0.77,0.22,0.83,0.62,0.55,0.57
"co_bin.12",-0.69,0.29,0.92,0.78,0.54,0.47
"co_bin.37",-0.76,0.17,0.74,0.73,0.45,0.67
"ro_bin.38",0.67,-0.34,-0.78,-0.74,-0.47,-0.63
"ro_bin.4",0.35,0.21,-0.58,-0.49,0,-0.73
"co_bin.3",0.25,0.26,-0.03,0.17,0.02,0.15
"co_bin.51",-0.23,0.41,0.27,0.51,0.43,0.22
"co_bin.16",-0.57,0.75,0.61,0.73,0.8,0.11
"co_bin.7",-0.44,0.93,0.48,0.49,0.8,-0.22
"rh_bin.30",-0.66,0.26,0.71,0.65,0.38,0.55
"rh_bin.21",-0.78,0.62,0.72,0.62,0.81,0.28
"co_bin.14",0.74,-0.46,-0.79,-0.76,-0.62,-0.43
"rh_bin.9",0.97,-0.41,-0.64,-0.54,-0.61,-0.38
"co_bin.36",-0.02,0.51,-0.02,-0.08,0.34,-0.32
"ro_bin.47",0.64,-0.39,-0.78,-0.7,-0.64,-0.47
"co_bin.66",0.22,0.39,-0.22,-0.19,0.11,-0.52
"co_bin.63",-0.34,0.42,0.46,0.04,0.37,-0.04
"co_bin.22",0.2,0.16,-0.48,-0.35,-0.12,-0.28
"co_bin.43",0.84,-0.56,-0.82,-0.71,-0.72,-0.27
"co_bin.34",0.58,0.02,-0.72,-0.65,-0.32,-0.62
"co_bin.58",-0.54,0.65,0.64,0.59,0.61,0.06
"co_bin.54",0.42,-0.04,-0.22,-0.19,-0.24,-0.1
"co_bin.2",0.72,-0.42,-0.73,-0.76,-0.68,-0.49
